AuthorID,AuthorName,Afilliation
60320,Felipe,Farming/Seeds/Milling
75685,Lock,Major Banks
77490,Frederigo,Life Insurance
75392,Adda,Consumer Specialties
87765,Doris,Real Estate Investment Trusts
20780,Ertha,Major Banks
50601,Isis,Natural Gas Distribution
19393,Dalton,Semiconductors
81103,Darryl,Property-Casualty Insurers
83108,Ruthann,Major Pharmaceuticals
54751,Camey,Major Banks
59982,Sharron,Oil Refining/Marketing
16290,Giacobo,Marine Transportation
59961,Mariya,Coal Mining
78214,Carolyne,Major Banks
78063,Bertrand,Home Furnishings
50952,Pattie,Homebuilding
57883,Patten,Biotechnology: Biological Products (No Diagnostic Substances)
12857,Theresa,n/a
12336,Nigel,Major Banks
58310,Shirl,Oil & Gas Production
54004,Silva,Electric Utilities: Central
93893,Norrie,n/a
51669,Garey,Military/Government/Technical
21539,Irwinn,Telecommunications Equipment
92638,Duke,Metal Fabrications
70741,Ulrica,Major Banks
38594,Joye,n/a
40822,Orazio,Real Estate
98967,Virginie,n/a
61221,Lucas,Electric Utilities: Central
40316,Shandeigh,Business Services
27532,Myra,Ordnance And Accessories
91343,Rosalinda,Major Banks
93548,Maryann,Major Banks
85630,Vidovik,Oilfield Services/Equipment
63473,Neville,Catalog/Specialty Distribution
28438,Ryan,Major Banks
64032,Stevie,Marine Transportation
56502,Brendin,Radio And Television Broadcasting And Communications Equipment
85701,Daune,Computer Software: Prepackaged Software
55000,Gretchen,Major Pharmaceuticals
18983,Valerye,Building Products
68342,Lodovico,Major Pharmaceuticals
87655,Bellanca,Computer Software: Prepackaged Software
24002,Marcia,Computer Manufacturing
33642,Barn,n/a
40362,Daryn,n/a
97412,Nelle,Telecommunications Equipment
42218,Valentine,Major Pharmaceuticals
71500,Muffin,n/a
92026,Friedrich,Biotechnology: Laboratory Analytical Instruments
41136,Gale,Major Banks
28803,Anthony,Radio And Television Broadcasting And Communications Equipment
59489,Sharia,n/a
84464,Tyrone,n/a
20553,Maiga,Medical Specialities
99784,Renato,Services-Misc. Amusement & Recreation
31246,Rheta,EDP Services
76337,Lazarus,n/a
55891,Murry,EDP Services
88909,Grier,Ordnance And Accessories
88305,Evy,Business Services
67507,Pen,n/a
50020,Samuel,Advertising
78616,Lyn,n/a
21533,Addy,n/a
78706,Karlis,Major Banks
55558,Marieann,Oil & Gas Production
40037,Tully,n/a
39486,Aundrea,Finance: Consumer Services
36805,Alic,Major Pharmaceuticals
94502,Saloma,Oil & Gas Production
48381,Boot,Real Estate Investment Trusts
12749,Wilfred,Medical/Dental Instruments
48223,Christos,Industrial Machinery/Components
95663,Laird,n/a
70150,Price,n/a
32044,Nevins,Computer Software: Prepackaged Software
66187,Muire,Major Pharmaceuticals
15673,Willie,n/a
66144,Selle,n/a
26611,Heda,n/a
87486,Horatia,n/a
93676,Jerry,Property-Casualty Insurers
80135,Lenee,n/a
93956,Nikolaus,Biotechnology: Electromedical & Electrotherapeutic Apparatus
47020,Holmes,n/a
39690,Glenine,Consumer Specialties
99346,North,Containers/Packaging
98627,Irving,n/a
11666,Marji,Oil & Gas Production
68849,Mathias,Other Specialty Stores
42013,Margret,n/a
63196,Britte,Commercial Banks
85330,Michaela,Aerospace
25167,Aleta,n/a
57934,Tailor,Oil & Gas Production
74210,Leanna,Office Equipment/Supplies/Services
75828,Willy,Miscellaneous manufacturing industries
85534,Elberta,Package Goods/Cosmetics
45792,Shirline,Farming/Seeds/Milling
83963,Teena,Steel/Iron Ore
47494,Alane,Natural Gas Distribution
12129,Merrick,Natural Gas Distribution
32747,Zandra,Investment Bankers/Brokers/Service
90947,Lyn,Computer peripheral equipment
61787,Rogerio,Industrial Specialties
73711,Sally,Other Consumer Services
24647,Siusan,Major Banks
36302,Monte,Major Banks
57214,Madlin,Business Services
95698,Rosamond,Real Estate
72453,Farr,n/a
19341,Julius,Precious Metals
65104,Breena,n/a
82977,Birgitta,Telecommunications Equipment
42093,Scottie,n/a
95248,Hana,Oil Refining/Marketing
34574,Beck,EDP Services
31546,Keary,Trucking Freight/Courier Services
45978,Bary,Environmental Services
58855,Swen,n/a
28511,Bab,Multi-Sector Companies
98009,Martino,Major Pharmaceuticals
28820,Felipe,n/a
45974,Hyacinthia,Real Estate
35960,Hynda,Biotechnology: Biological Products (No Diagnostic Substances)
10684,Bryanty,Medical Specialities
24088,Pattin,Precious Metals
93168,Sherm,n/a
50373,Errol,n/a
41547,Marina,Television Services
38804,Nissy,Hotels/Resorts
36373,Miguel,Motor Vehicles
56287,Anderson,Major Banks
88874,Gilemette,n/a
49172,Harwilll,Marine Transportation
21410,Pall,Business Services
35163,Cindi,n/a
16940,Gerardo,"Computer Software: Programming, Data Processing"
13782,Brianna,Oil & Gas Production
62260,Isidor,n/a
73541,Luisa,Computer Software: Prepackaged Software
76841,Myriam,n/a
93050,Morganica,n/a
85719,Moira,Medical/Dental Instruments
18185,Thorin,Life Insurance
76320,Adolph,EDP Services
15366,Colet,Property-Casualty Insurers
79118,Jamison,n/a
98626,Leonore,Major Banks
22625,Lind,Power Generation
20957,Curtis,Other Specialty Stores
63569,Leigh,Major Banks
14842,Sig,Building Products
55950,Darnell,Real Estate Investment Trusts
97650,Edita,Department/Specialty Retail Stores
36074,Rycca,Computer Software: Prepackaged Software
