AuthorID,AuthorName,Afilliation
10001,Roderich,Life Insurance
10002,Evin,n/a
10003,Blane,Major Banks
10004,Berri,Broadcasting
10005,Calhoun,Homebuilding
10006,Reinwald,Hotels/Resorts
10007,Leshia,Oil & Gas Production
10008,Rois,Major Pharmaceuticals
10009,Clemente,Paper
10010,Cirilo,Major Banks
10011,Odelinda,Life Insurance
10012,Jessee,Major Pharmaceuticals
10013,Lucho,n/a
10014,Heda,Television Services
10015,Patrizio,Telecommunications Equipment
10016,Beatrix,n/a
10017,Marianne,Oil Refining/Marketing
10018,Tann,Semiconductors
10019,Sherye,Telecommunications Equipment
10020,Cathie,n/a
10021,Edsel,n/a
10022,Truda,Fluid Controls
10023,Emmy,Packaged Foods
10024,Clerc,Major Pharmaceuticals
10025,Greta,n/a
10026,Joli,Property-Casualty Insurers
10027,Hubey,Savings Institutions
10028,Cecily,Oil & Gas Production
10029,Viviana,Specialty Chemicals
10030,Adelina,Shoe Manufacturing
10031,Jessamyn,Other Consumer Services
10032,Trudey,EDP Services
10033,Dorey,Building Products
10034,Rosemonde,n/a
10035,Aguie,Investment Managers
10036,Robinet,Major Banks
10037,Les,Hotels/Resorts
10038,Lauri,Home Furnishings
10039,Worth,n/a
10040,Ivor,Major Banks
10041,Lindsey,Clothing/Shoe/Accessory Stores
10042,Derward,Clothing/Shoe/Accessory Stores
10043,Beck,Other Consumer Services
10044,Jameson,Computer Software: Prepackaged Software
10045,Arturo,Hospital/Nursing Management
10046,Abigael,Investment Bankers/Brokers/Service
10047,Odessa,Hospital/Nursing Management
10048,Alta,n/a
10049,Audra,n/a
10050,Ellen,EDP Services
10051,Chaddie,Packaged Foods
10052,Nealon,Major Pharmaceuticals
10053,Quintana,Major Pharmaceuticals
10054,Karalynn,Medical/Dental Instruments
10055,Garnet,Major Banks
10056,Aloisia,Power Generation
10057,Sophey,n/a
10058,Micky,Major Pharmaceuticals
10059,Erminie,Finance Companies
10060,Alair,n/a
10061,Caty,Building Products
10062,Beauregard,Services-Misc. Amusement & Recreation
10063,Kile,Major Pharmaceuticals
10064,Cecile,Investment Bankers/Brokers/Service
10065,Zsazsa,Telecommunications Equipment
10066,Dannel,n/a
10067,Wini,n/a
10068,Vassili,Packaged Foods
10069,Eilis,n/a
10070,Lemmy,Investment Bankers/Brokers/Service
10071,Fionnula,Life Insurance
10072,Vasili,Recreational Products/Toys
10073,Joy,Restaurants
10074,Shanon,Semiconductors
10075,Austin,n/a
10076,Elfreda,Computer Software: Prepackaged Software
10077,Joanna,n/a
10078,Drud,Major Pharmaceuticals
10079,Lillian,Broadcasting
10080,Nicky,n/a
10081,Allistir,n/a
10082,Pepi,Major Banks
10083,Saunder,n/a
10084,Archibold,Trucking Freight/Courier Services
10085,Moe,n/a
10086,Zara,Medical/Dental Instruments
10087,Aurora,Professional Services
10088,Kathryne,Biotechnology: Laboratory Analytical Instruments
10089,Augustina,n/a
10090,Glenden,n/a
10091,Price,Major Banks
10092,Diahann,Business Services
10093,Bessie,Farming/Seeds/Milling
10094,Rose,Major Banks
10095,Pietro,Telecommunications Equipment
10096,Laurene,Fluid Controls
10097,Glenn,n/a
10098,Hymie,n/a
10099,Emmott,Oil/Gas Transmission
10100,Armin,Ordnance And Accessories
10101,Dolf,Clothing/Shoe/Accessory Stores
10102,Gare,Electric Utilities: Central
10103,Hazel,Industrial Specialties
10104,Corny,n/a
10105,Rosaline,Major Pharmaceuticals
10106,Margalo,Major Pharmaceuticals
10107,Juli,Major Pharmaceuticals
10108,Morten,Major Pharmaceuticals
10109,Jo ann,n/a
10110,Gert,Major Banks
10111,Shayne,Water Supply
